
Fri 30 Sep 00:02:59 JST 2022 : Started Monitoring
Fri 30 Sep 00:08:18 JST 2022 : Monitor is alive
Fri 30 Sep 00:13:34 JST 2022 : Monitor is alive
Fri 30 Sep 00:18:50 JST 2022 : Monitor is alive
Fri 30 Sep 00:24:08 JST 2022 : Monitor is alive
Fri 30 Sep 00:29:25 JST 2022 : Monitor is alive
Fri 30 Sep 00:34:41 JST 2022 : Monitor is alive
Fri 30 Sep 00:39:56 JST 2022 : Monitor is alive
Fri 30 Sep 00:45:11 JST 2022 : Monitor is alive
Fri 30 Sep 00:50:26 JST 2022 : Monitor is alive
Fri 30 Sep 00:55:42 JST 2022 : Monitor is alive
Fri 30 Sep 01:00:59 JST 2022 : Monitor is alive
Fri 30 Sep 01:06:14 JST 2022 : Monitor is alive
Fri 30 Sep 01:11:30 JST 2022 : Monitor is alive
Fri 30 Sep 01:16:45 JST 2022 : Monitor is alive
Fri 30 Sep 01:21:59 JST 2022 : Monitor is alive
Fri 30 Sep 01:27:13 JST 2022 : Monitor is alive
Fri 30 Sep 01:32:28 JST 2022 : Monitor is alive
Fri 30 Sep 01:37:43 JST 2022 : Monitor is alive
Fri 30 Sep 01:42:58 JST 2022 : Monitor is alive
Fri 30 Sep 01:48:14 JST 2022 : Monitor is alive
Fri 30 Sep 01:53:30 JST 2022 : Monitor is alive
Fri 30 Sep 01:58:45 JST 2022 : Monitor is alive
Fri 30 Sep 02:04:01 JST 2022 : Monitor is alive
Fri 30 Sep 02:09:17 JST 2022 : Monitor is alive
Fri 30 Sep 02:14:32 JST 2022 : Monitor is alive
Fri 30 Sep 02:19:47 JST 2022 : Monitor is alive
Fri 30 Sep 02:25:02 JST 2022 : Monitor is alive
Fri 30 Sep 02:30:17 JST 2022 : Monitor is alive
Fri 30 Sep 02:35:33 JST 2022 : Monitor is alive
Fri 30 Sep 02:40:48 JST 2022 : Monitor is alive
Fri 30 Sep 02:46:03 JST 2022 : Monitor is alive
Fri 30 Sep 02:51:17 JST 2022 : Monitor is alive
Fri 30 Sep 02:56:32 JST 2022 : Monitor is alive
Fri 30 Sep 03:01:48 JST 2022 : Monitor is alive
Fri 30 Sep 03:07:03 JST 2022 : Monitor is alive
Fri 30 Sep 03:12:18 JST 2022 : Monitor is alive
Fri 30 Sep 03:17:34 JST 2022 : Monitor is alive
Fri 30 Sep 03:22:50 JST 2022 : Monitor is alive
Fri 30 Sep 03:28:06 JST 2022 : Monitor is alive
Fri 30 Sep 03:33:21 JST 2022 : Monitor is alive
Fri 30 Sep 03:38:36 JST 2022 : Monitor is alive
Fri 30 Sep 03:43:52 JST 2022 : Monitor is alive
Fri 30 Sep 03:49:08 JST 2022 : Monitor is alive
Fri 30 Sep 03:54:25 JST 2022 : Monitor is alive
Fri 30 Sep 03:59:39 JST 2022 : Monitor is alive
Fri 30 Sep 04:04:55 JST 2022 : Monitor is alive
Fri 30 Sep 04:10:11 JST 2022 : Monitor is alive
Fri 30 Sep 04:15:26 JST 2022 : Monitor is alive
Fri 30 Sep 04:20:42 JST 2022 : Monitor is alive
Fri 30 Sep 04:25:59 JST 2022 : Monitor is alive
Fri 30 Sep 04:31:14 JST 2022 : Monitor is alive
Fri 30 Sep 04:36:30 JST 2022 : Monitor is alive
Fri 30 Sep 04:41:45 JST 2022 : Monitor is alive
Fri 30 Sep 04:47:01 JST 2022 : Monitor is alive
Fri 30 Sep 04:52:16 JST 2022 : Monitor is alive
Fri 30 Sep 04:57:31 JST 2022 : Monitor is alive
Fri 30 Sep 05:02:47 JST 2022 : Monitor is alive
